Nama Produk,Nomor Izin Edar,Produsen / Pendaftar,Kandungan BKO
PremierZEN Extreme 3000 Dietary Supplements,-,NS NY Distribution Inc.,Tadalafil
Rhino 11 platinum 200K,-,,Tadalafil
Rhino 15 Gum,-,,Tadalafil
Rhino 15VL Fruit; Mint,-,,Tadalafil
Rhino 25 Platinum 35000,-,,Tadalafil
Rhino 69 Platinum 35000,-,,Tadalafil
Rhino king 15000,-,,Tadalafil
Rhino Platinum 12 Platinum 150K,-,,Tadalafil
Rhino Super Long Lasting 200K,-,,Tadalafil
Rise 2.0 Liquid Cialis 30ml,-,,Tadalafil
Slam 29000 mg,-,,Tadalafil
Spanish Fly 22.000,-,,Tadalafil
Swiss Candy,-,,Tadalafil
Triple SupremeZEN Plus 3500 Dietary Supplements,-,,Tadalafil
X Rated Honey For Men,-,,Tadalafil
Tawon Liar kapsul,TR 093 513 151,PJ. Maju Jaya Bersama Indonesia,Tramadol
777,-,,Yohimbin
Africa Rhino Platinum 75K,-,,Yohimbin
Black Mamba Extreme 15000,-,,Yohimbin
Black Panther 200 K,-,Happy Miny,Yohimbin
Black Panther 350K,-,,Yohimbin
Black Panther Platinum 30K,-,,Yohimbin
FX 5000,-,,Yohimbin
Gold Rhino 100000,-,,Yohimbin
Passion Classic,-,,Yohimbin
Power Panther,-,,Yohimbin
Rhino 11 10k,-,,Yohimbin
Rhino Super Long Lasting 200K,-,Happy Miny,Yohimbin
Rising Phoenix,-,,Yohimbin
Super Mamba-Triple Maximum,-,,Yohimbin
The Original 3 Bullets Capsules,-,,Yohimbin
TNT Premium,-,,Yohimbin
Trojan-X 300K,-,,Yohimbin
Vigar X,-,,Yohimbin
White Mamba,-,,Yohimbin
X Panther 9X,-,,Yohimbin
X Panther Premium,-,,Yohimbin
Yohimbe HCL,-,,Yohimbin
U-Dream Full Night,-,Biotrade Canada Ltd.,Zopiclone
U-Dream Lite,-,Biotrade Canada Ltd.,Zopiclone
Li Da Daidaihua Weight Loss Capsule,-,,Acetaminofen dan Sibutramin
Winata (kemasan botol),TR 173 398 751,"PT. Bintang Mas Herbalindo, Bogor",Allupurinol
Winata (kemasan blister),TR 163 398 461,"PT. Bintang Mas Herbalindo, Bogor","Allupurinol, Deksametason"
Alien 2 Power Platinum 11000,-,,Aminotadalafil
FTK For Join Pain,-,FTK traditional medicine production,"Asam Mefenamat, Diklofenak, Parasetamol"
Chinese Zhigenduan,-,-,Asetosal
Zhigenduan,TR 202 364 061,"PT. Sinar Herba Radix, Tangerang","Asetosal, Parasetamol"
Impactra (Health Supplement),-,Gold Tree Pte Ltd,"Chloropretadalafil, Sildenafil, Tadalafil"
Lung Tan Tsao,-,,"Chlorpheniramin, Deksametason"
Mamba is Hero,-,,"Dapoksetin, Desmethyl Carbodenafil, Sildenafil"
Black Mamba 7K,-,,"Dapoksetin, Tadalafil"
Scorpion Natural Formula 41000 mg capsules,-,,"Dapoksetin, Tadalafil"
Titanium 12K,-,,"Dapoksetin, Tadalafil"
Angger Waras,TR 193 623 801,"CV. Putri Sejati, Banyuwangi",Deksametason
Bio Nervee,TR 193 437 221,"PT. Eleska Prima Tiga, Tangerang",Deksametason
Elang Mas,TR 203 615 671,"CV. Rochman Jaya, Banyuwangi",Deksametason
Jamu Dewo,-,"CV. Jaya Dewa Kreasi, Yogyakarta",Deksametason
Jamu Dewo Less Sugar,-,"CV. Jaya Dewa Kreasi, Yogyakarta",Deksametason
Jamu Dua Singa,TR 182 614 841,"CV. Rochman Jaya, Banyuwangi",Deksametason
Jamu Jawa Dwipa Cap Klanceng Sakti Putra Pegal Linu,TR 193 623 281,"CV. Tirta Sakti, Banyuwangi",Deksametason
Jamu Jawa Dwipa Cap Rempah Dewa Pegal Linu,TR 183 616 891,"CV. Tirta Sakti, Banyuwangi",Deksametason
Kunci Sejati (kemasan botol plastik),TR 183 614 961,"CV. Putri Sejati, Banyuwangi",Deksametason
Kunci Wasiat (kemasan botol kaca),TR 183 614 951,"CV. Putri Sejati, Banyuwangi",Deksametason
Kunci Wasiat (kemasan botol plastik),TR 183 614 971,"CV. Putri Sejati, Banyuwangi",Deksametason
Kunci Wasiat (kemasan sachet),TR 193 627 211,"CV. Putri Sejati, Banyuwangi",Deksametason
Urinary Pain Relief Tablets,-,"Tot Jum Chew Pte Ltd, Singapore","Deksametason, Betametason, Klorfeniramin"
Shen Qi Dan Bai Nian Cao Yao,-,,"Deksametason, Diklofenak, Frusemid, Klorfeniramin"
Racik Sewu,TR 133 668 201,"CV. Putri Sakti Husada, Banyuwangi","Deksametason, Fenilbutason"
Vitacino,-,"CV Sekar Kusuma, Bogor","Deksametason, Guaifenesin, Klorfeniramin Maleat, Parasetamol, Piridoksin Hidroklorida, Siproheptadin Hidroklorida"
Tian Ma Tu Chung Seven Leave Ginseng,-,,"Deksametason, Klorfeniramin"
Ricalinu,-,,"Deksametason, Meloksikam, Tramadol"
Pegel Linu Cap Akar Daun,TR 193 629 121,"CV. Akar Daun, Banyuwangi","Deksametason, Parasetamol"
Sinatren,TR 944 322 109,"Jamu Tradisional Sinatren, Karawang","Deksametason, Parasetamol, Prednison"
Herbulgari,-,,"Deksametason, Piroksikam"
Max Health Hydro Pinapple Burn,-,,Desisobutilbenzil-sibutramin
Bravo for Him,-,,"Desmethyl Carbodenafil, Sildenafil, Tadalafil"
Lishou Slimming Coffee,-,,"Desmetilsibutramin, Sibutramin"
RMFLEX,-,,Diklofenak
Seven Day Slim Capsules,-,,"Diklofenak,  Lidokain"
Kyal Phyu for Rheumatic arthritis and aching,-,Kyal Phyu Traditional Medicine Production,"Diklofenak, Parasetamol"
Tite Kyet- ford arthalgia,-,,"Diklofenak, Parasetamol"
Resurrection,-,,"Dypirone, Sildenafil, Tadalafil"
Chuanpect Pil,TR 122 466 681,"PT. Sinar Herba Radix, Tangerang","Efedrin Hidroklorida, Pseudoefedrin Hidroklorida"
Forvidna,TR 202 379 701,"PT. Sinar Herba Radix, Tangerang","Efedrin Hidroklorida, Pseudoefedrin Hidroklorida"
Ji Zhi Tang Jiang,TI 114 646 031,"PT. Sky One Health Care, Jakarta","Efedrin Hidroklorida, Pseudoefedrin Hidroklorida"
Lianhua Qingwen Jiaonang (Tanpa Izin Edar),-,"Shijiazhuang Yiling Pharmaceutical Co. Ltd, China","Efedrin Hidroklorida, Pseudoefedrin Hidroklorida"
Akar Ginseng Plus Buah Merah Asam Urat Flu Tulang,TR 003404733,PJ.Akar Ginseng Jakarta,Fenilbutason
Pil Kecethit,Depkes RI No TDP 115062551809,PJ Muncul Baru Jateng,Fenilbutason
Zhen Qi Jiang Tang Jiao Nang,TI 124 346 451,Harbin Tongyitang Pharmaceutical CO LTD,"Glibenklamid, Metformin"
Zhen Qi Jiang Tang Jiao Nang,POM TI 124346451,Harbin Tong Yi Tang Pharmaceutical Co Ltd,"Glibenklamid, Metformin"
Jamu Anlinu Cap Prono Jiwo,-,"UD Prono Jiwo, Rogojampi Banyuwangi","Ibuprofen, Prednisolon"
C&R Normal,-,-,"Fenofibrate, Kafein"
C&R Double Strong,-,-,"Furosemid, Kafein"
Buah Merah Papua,POM TR 003 202 652,PJ Jaya Utama Jawa,"Kafein, Parasetamol"
Bunga Mujarab,POM TR 003 200 961,PJ Bima Jaya Jateng,"Kafein, Parasetamol"
Rempah Kulit Manggis & Daun Sirsak,POM TR 082 485 211,-,"Kafein, Parasetamol"
Urat Madu Gold,Depkes RI TR 2011052625,PJ Air Madu Magelang,"Kafein, Parasetamol, Sildenafil Sitrat"
Cindelaras Capsul Lara Awak,Depkes. RI. No. TR. 001504411,"PJ. Bumi Putra Atmojo, jawa tengah",Parasetamol
