Nama Produk,Nomor Izin Edar,Produsen / Pendaftar,Kandungan BKO
Sinar Manjur 99 (encok/Rheumatik),-,"PJ. Sinar Manjur 99, Cilacap",Fenilbutason
Sinar Manjur 99 (sirkit),-,"PJ. Sinar Manjur 99, Cilacap",Fenilbutason
"Darah Tinggi No. 6, serbuk",TR. 953277931,PJ. Suharto Jaya Dipa,Furosemid
Serbuk Manjur Langsingset,TR. 993298451,PJ. Serbuk Manjur Jaya,Furosemid
"Pi Yen Chin, cairan",-,China,Naphazolin
"Ocustilla Bainetini, tetes mata",-,China,Natrium Klorida
"Shen Chu Cha, serbuk",-,Guang Zhou,Parasetamol
"Zhu Po Baoying Dan, serbuk",-,Wu Zhou Drug Manufactory Guanxi,Parasetamol
Tablet Obat Kuat + Ragel Linu Lawang Sewu,-,PJ. Drs. Narpan Kopja Aneka Sari,Parasetamol
"Gentian Rheumatism, serbuk",-,Hainan China,Prednison
"Asma No. 7, serbuk",TR. 953277921,PJ. Suharto Jaya Dipa,Teofilin
"Sesak Nafas No. 7, serbuk",TR. 993298351,PJ. Serbuk Manjur Jaya,Teofilin
"Kuat Lelaki No. 5, serbuk",TR. 933268111,PJ. Suharto Jaya Dipa,Antalgin
Pegal Linu Cap Liur Walet,TR. 993202771,Kopja Sabuk Kuning Unit II,Antalgin
Pegal Linu No. 2,TR.993205441,PJ. Serbuk Ratu,Antalgin
"Shi Zhi Reqing Repian, tablet",-,Fukien Drug Manufactory,Antalgin
"Rheumatik/ Encok Jaya Guna, serbuk",-,PJ. Jaya Guna,Antalgin
"Runrah, serbuk",TR. 983298111,PJ. Candi Mas Purba Salma,Antalgin
Serbuk Bunga Tanjung,-,PJ. Pamijahan,Antalgin
Serbuk Manjur Sehat Laki-laki,TR. 993298411,PJ. Serbuk Manjur Jaya,Antalgin
Sir Angin Kaplet,TR. 001508721,PJ. Serbuk Manjur Jaya,Antalgin
Super Rheumatik No. 2,-,PJ. Ragil Sentosa,Antalgin
Serbuk Manjur Antik,TR. 993298371,PJ. Serbuk Manjur Jaya,"Antalgin, CTM, Fenilbutason"
Jarem (Encok),TR. 993299881,PJ. Sari Alam,"Antalgin, Deksametason, Fenilbutason"
Pegal Linu (Anti Rheumatik Cie Sen San),TR. 993200491,PJ. Jaya Asli,"Antalgin, Deksametason, Fenilbutason"
Akar Lawang Stamina Super Prima,-,PJ. Prima Jaya,"Antalgin, Fenilbutason"
Akar Lawang Super Prima,-,PJ. Prima Jaya,"Antalgin, Fenilbutason"
"Kong Fulin, Kapsul",-,Kwang Cow Pharm Co,"Antalgin, Fenilbutason"
Serbuk No. 2 (Rheumatik),TR. 983292071,PJ. Candi Mas Purba Salma,"Antalgin, Fenilbutason"
Serbuk Pegal Linu Akar Pribumi,TR. 993202891,"PJ. Akar Pribumi, Kopja Sabuk Kuning Unit III","Antalgin, Fenilbutason"
"Amrat, serbuk",TR. 993299221,PJ. Serbuk Super / Subur Sejati,"Antalgin, Kafein, Fenilbutason"
"Cornu Antelopis Fastact Cold, kapsul",-,China,"CTM, Kafein, Parasetamol"
Pegal Linu Plus Rempah Pribumi,TR. 003201591,PJ. Inti Mujarab (Kopja Aneka Sari Unit VI),"Antalgin, Fenilbutason, Parasetamol"
"Karomah Sehat, serbuk",TR. 993200891,PJ. Serbuk Super / Subur Sejati,"Fenilbutason, Kafein"
"Galian Rapet, serbuk",TR. 993299231,PJ. Serbuk Super / Subur Sejati,Kafein
"Phostose, cairan",-,China,Kafein
Serbuk Manjur Gemuk Sehat,TR. 993298331,PJ. Serbuk Manjur Jaya,Kafein
"Kitla, serbuk",TR. 983292091,PJ. Candi Mas Purba Salma,"Antalgin, Talbutamid, Klorpropamid"
"Sesak Napas, serbuk",TR. 983292121,PJ. Candi Mas Purba Salma,"Antalgin, Teofilin"
Serbuk Manjur Sir Angin,TR. 001508721,PJ. Serbuk Manjur Jaya,Kafein
"Sesak Nafas, serbuk",TR. 983292371,PJ. Serbuk Super / Subur Sejati,"Kafein, Teofilin"
"Huo Tuo Feng Tong Bao, kapsul",-,China National Medicine Health Product,Asam Mefenamat
"Shaolin, kapsul",-,Hainan China,Asam Mefenamat
"Oculentum Whole Brand, salep",-,China,Boraks
"Snake Itch Removing Pills, kapsul",-,China National Medicine Health Product,CTM
"Suxiao Shangfeng Jiaonang, kapsul",-,China,CTM
"Gajah Mada, Serbuk",-,"PJ Bintang Mahkota, Cirebon","CTM, Deksametason"
"Tanggul Darah, serbuk",TR. 983292371,PJ. Serbuk Super / Subur Sejati,"Kafein, Teofilin"
"Cartussin Cough, sirup",-,Shanghai Pharmaceutical Ind. Corp.,"CTM, Glyceryl Guaiacolat"
Serbuk No. 1 (Gemuk),TR. 983292061,PJ. Candi Mas Purba Salma,Deksametason
"Pay Na Ran, serbuk",TR. 99329981,PJ. Sinar Laba-laba,"Deksametason, Fenilbutason"
"Penenang No. 11, serbuk",TR. 933268091,PJ. Suharto Jaya Dipa,Diazepam
"Ancom, tablet",-,Shanghai Pharmaceutical,"Diazepam, Reserpin, Vit. B1, Vit B6"
"Chui Fong Tou Ku Wan, pil",-,Nanlien Pharm. Co Ltd,Fenilbutason
"Gentian Rheumatism, kapsul",-,Tiong Hwa Herbal Manufactures,Fenilbutason
"Pegal Linu Langgeng Sentosa, serbuk",TR .993205321,PJ. Langgeng Sentosa,Fenilbutason
Pegal Linu Serbuk Pusaka Jaya,TR. 993299581,PJ. Pusaka Jaya,Fenilbutason
Yunan Flu Pil,-,China,Fenilbutason
Serbuk Manjur Sehat,TR. 993200871,PJ. Serbuk Manjur Jaya,Fenilbutason
Serbuk No. 3 (Pelangsing),TR. 983292081,PJ. Candi Mas Purba Salma,Fenilbutason
